text,title
"YouTube Subscriptions","YouTube Subscriptions"
NASA,NASA,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCLA_DiR1FfKNvjuUpBHmylQ
"Raquel Urtasun","Raquel Urtasun",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCLGGmIWc3Ia1jhKBNUsbBjg
"Vision Seminar MIT","Vision Seminar MIT",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCLMiFkFyfcNnZs6iwYLPI9g
"Coding Garden with CJ","Coding Garden with CJ",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCLNgu_OupwoeESgtab33CCw
Vox,Vox,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCLXo7UDZvByw2ixzpQCufnA
"NT Productions","NT Productions",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCLm4ulfkPLUPqna8jnS8FdQ
Neuralink,Neuralink,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCLt4d8cACHzrVvAz9gtaARA
"The Knowledge Project","The Knowledge Project",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCLtTf_uKt0Itd0NG7txrwXA
"English Speeches","English Speeches",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCLyr-hfWVCKHcZjV5fg3jbw
Recode,Recode,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCMDxbhGcsE7EnknxPEzC_Iw
"Studio Zindeed Technical Explainer Animations","Studio Zindeed Technical Explainer Animations",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCMK7btOIFjau1jqDl2TRGMg
"ABB Robotics","ABB Robotics",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCM_CsBtYQd5zVuYdwmNpT6g
"The Federalist Society","The Federalist Society",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCMk8U2Hmfdxqn3zrCq2g9oQ
CppCon,CppCon,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCMlGfpWw-RUdWX_JbLCukXg
